material_id,formula,transition_metal,energy_above_hull,volume,density,band_gap,is_stable,is_metal
mp-1008630,WC,W,0.8989987500000005,20.42329339569059,15.923863635722565,0.0,False,True
mp-1008635,WC,W,0.6728768300000034,26.111530036169885,12.454947625621179,0.0,False,True
mp-1894,WC,W,0.0,20.917739350715298,15.547461108133996,0.0,True,True
mp-13136,WC,W,0.4476605100000022,21.084249091738137,15.42467733189354,0.0,False,True
mp-1008625,W2C,W,0.13689717666666468,38.187410730731294,16.510447537313535,0.0,False,True
mp-2034,W2C,W,0.06544971916666498,152.22658256008276,16.567178500686172,0.0,False,True
mp-33065,W2C,W,0.07076890666666458,76.15490994971967,16.558124535157535,0.0,False,True
mp-567397,W2C,W,0.08328427666666727,114.38179873883821,16.53649221486233,0.0,False,True
mp-979413,W3C,W,1.330666737499996,56.447452690107,16.5776257260558,0.0,False,True
mp-684989,W9C4,W,0.07193477384615221,338.1916480138107,16.719741512582406,0.0,False,True
mp-1008806,ReC2,Re,1.5301591537499988,26.051726107492577,13.399974733195927,0.0,False,True
mp-1008802,ReC2,Re,0.9113396737499997,27.814270164209283,12.550840612950713,0.0,False,True
mp-1008805,ReC2,Re,0.47989954708333116,29.18695873907311,11.960563439218653,0.0,False,True
mp-1009731,ReC,Re,1.1149929443750004,19.69732832538351,16.71029845084614,0.0,False,True
mp-1009663,ReC,Re,0.769432209375001,25.12788655081559,13.098922360057394,0.0,False,True
mp-1009735,ReC,Re,0.265454019375003,20.379676009634913,16.150808032760292,0.0,False,True
mp-1019051,ReC2,Re,0.8499078416666705,57.44551795656024,12.153862790845464,0.0,False,True
mp-1019054,ReC2,Re,0.44891448541666534,58.24544266203999,11.986945437846368,0.0,False,True
mp-1079494,ReC,Re,0.636191904375,82.21523614802835,16.013977477791737,0.0,False,True
mp-10709,ReC,Re,0.9683199143749981,20.75692677072939,15.857272063300615,0.0,False,True
mp-974437,Re2C,Re,0.0,69.65985272408962,18.327694028761464,0.0,True,True
mp-974452,Re3C,Re,1.4002532674999983,54.60678871054447,17.352352229261655,0.0,False,True
mp-999308,OsC,Os,0.9277737837499984,40.89565199462763,16.42368160409063,0.0,False,True
mp-1008835,OsC2,Os,0.6011552450000011,28.671097188290208,12.408761964509347,0.0,False,True
mp-1009540,OsC,Os,0.7169758262499997,24.53179762202897,13.689522017504453,0.14459999999999962,False,False
mp-1009539,OsC,Os,1.3918186662499998,20.750618336778786,16.184027782945634,0.0,False,True
mp-1009537,OsC,Os,1.4795162512500006,19.629707240131165,17.108180961005765,0.0,False,True
mp-1018850,OsC2,Os,0.5797571416666649,57.32744554215406,12.411954410534454,0.0,False,True
mp-1080659,OsC,Os,0.7765956512499983,89.07291263651574,15.081064432962302,0.2991999999999999,False,False
mp-7142,OsC,Os,0.9160852612500001,20.547171622650602,16.344273063136406,0.0,False,True
mp-1189780,Os2C3,Os,1.2243351004999958,199.18025444356982,13.888955125167277,0.23550000000000004,False,False
mp-1197685,Os2C3,Os,1.17217014525,393.6208776769834,14.056193523638923,0.07659999999999911,False,False
mp-1001789,IrC,Ir,0.5319193412499992,24.891044625571116,13.624501498714897,0.0,False,True
mp-1001827,IrC,Ir,1.220723241249999,21.540864975689413,15.743475259160029,0.0,False,True
mp-1001824,IrC,Ir,1.4245052662500015,21.394247820760725,15.851367042527533,0.0,False,True
mp-1017519,IrC,Ir,1.66696995625,20.347982149131344,16.666422858059683,0.0,False,True
mp-1009071,IrC2,Ir,1.4549496716666646,31.732751778850368,11.315511302113716,0.0,False,True
mp-1077157,IrC2,Ir,1.4165495033333357,54.673437768608544,13.135164937695446,0.0,False,True
mp-1077889,IrC2,Ir,1.293225439999997,70.05140213104313,10.251680922218922,0.0,False,True
mp-1191686,IrC2,Ir,1.1751079708333307,242.5983163216012,11.840883872408911,0.0,False,True
mp-1106149,Ir5C3,Ir,0.7824195903125002,219.59880796104497,15.079789514448795,0.0,False,True
mp-1184780,IrC3,Ir,0.7364806387499989,154.15756135349528,9.83452370855072,0.0,False,True
mp-1079286,IrC4,Ir,1.5050508040000032,52.06406142551848,7.6628824887518325,0.0,False,True
mp-1079828,IrC4,Ir,0.9714518619999986,87.07056557581484,9.164079317792387,0.0,False,True
mp-1080042,IrC4,Ir,0.5786491190000014,94.39818346800763,8.45272165064737,0.0,False,True
mp-1104673,IrC4,Ir,1.2695418699999976,122.38768855684022,9.779434254262029,0.0,False,True
mp-1190275,IrC4,Ir,0.923264743499999,214.950546533334,7.424233918456876,0.0,False,True
mp-1198173,IrC4,Ir,0.7218419937500009,336.06886699371483,9.497119757858837,0.0,False,True
mp-1197234,Ir4C5,Ir,1.0326911158333303,383.20732863296143,14.367747513891091,0.5691000000000006,False,False
mp-1002228,PtC,Pt,2.0090891862500015,22.331687785941376,15.399142403054613,0.0,False,True
mp-1009648,PtC,Pt,1.5707331862499991,22.905740327603738,15.013216573569803,0.0,False,True
mp-1018164,PtC,Pt,0.9112256662500009,26.448169244537592,13.002368411087314,0.0,False,True
mp-1018165,PtC,Pt,1.4822802012499992,22.465543950319464,15.307389889011633,0.0,False,True
mp-1008661,AuC,Au,2.247474876249999,26.78333684716926,12.956373646451762,0.0,False,True
mp-1183164,AuC,Au,1.8776272787499977,60.071217121781395,11.55345059805286,0.0,False,True
mp-1214766,AuC2,Au,1.5434026316666696,86.5415298285101,4.240266575052979,2.8504,False,False
mp-1228707,AuC,Au,2.1137721462499997,34.86152421396011,9.954094880101197,0.0,False,True
mp-1184566,HgC,Hg,2.288847001249998,71.10315187210144,9.930129934739456,0.0,False,True
mp-973450,Hg3C,Hg,1.5229423418750017,78.52195523466627,12.979896247528758,0.0,False,True
mp-973461,Hg3C,Hg,1.5103467343749983,79.10430613366891,12.884340713093795,0.0,False,True
